"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"	"Species_Name"	"N_Reads"	"Genome_Size"
3	6	32697	32697	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
5	6	31782	31782	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
102	7	2439	2439	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
17	7	20801	20801	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
18	7	18278	18278	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
49	7	10173	10173	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
24	8	15835	15835	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
26	8	15779	15779	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
30	8	14610	14610	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
36	9	12545	12545	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
42	9	11745	11745	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
64	9	5223	5223	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
70	9	4868	4868	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
101	10	2489	2489	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
62	10	5445	5445	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
78	10	4148	4148	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
84	10	3754	3754	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
88	10	3349	3349	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
92	10	3209	3209	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
94	10	2951	2951	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
50	11	9549	9549	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
51	11	9513	9513	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
59	11	5833	5833	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
11	12	24179	24179	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
25	13	15786	15786	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
27	14	15671	15671	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
28	15	15363	15363	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Solanum_dasyphyllum"	2479974	2.91
33	16	13438	13438	"All/repeat/mobile_element/Class_I/LINE"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LINE"	"Solanum_dasyphyllum"	2479974	2.91
38	17	12388	12388	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Solanum_dasyphyllum"	2479974	2.91
47	18	10470	10470	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
48	19	10181	10181	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
106	20	2131	2131	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
77	20	4170	4170	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
87	20	3414	3414	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
52	21	9037	9037	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_dasyphyllum"	2479974	2.91
54	22	7904	7904	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
55	23	7719	7719	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
178	24	371	371	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Solanum_dasyphyllum"	2479974	2.91
73	24	4374	4374	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Solanum_dasyphyllum"	2479974	2.91
98	24	2579	2579	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Solanum_dasyphyllum"	2479974	2.91
57	25	7308	7308	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
58	26	6263	6263	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Solanum_dasyphyllum"	2479974	2.91
60	27	5817	5817	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_dasyphyllum"	2479974	2.91
63	28	5407	5407	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
66	29	5147	5147	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
67	30	5078	5078	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_dasyphyllum"	2479974	2.91
68	31	5045	5045	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
69	32	4990	4990	"All/repeat/satellite"	"Putative satellites (low confidence)"	"All/repeat/satellite"	"Solanum_dasyphyllum"	2479974	2.91
71	33	4766	4766	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_dasyphyllum"	2479974	2.91
74	34	4268	4268	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
75	35	4243	4243	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_dasyphyllum"	2479974	2.91
76	36	4224	4224	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
79	37	4096	4096	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
81	38	3923	3923	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_dasyphyllum"	2479974	2.91
82	39	3872	3872	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
83	40	3767	3767	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
85	41	3651	3651	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
86	42	3473	3473	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
89	43	3343	3343	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Solanum_dasyphyllum"	2479974	2.91
90	44	3259	3259	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
91	45	3230	3230	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_dasyphyllum"	2479974	2.91
93	46	2970	2970	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
95	47	2921	2921	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
96	48	2715	2715	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Solanum_dasyphyllum"	2479974	2.91
97	49	2630	2630	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
99	50	2560	2560	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
100	51	2530	2530	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Solanum_dasyphyllum"	2479974	2.91
103	52	2394	2394	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
108	53	2100	2100	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Putative satellites (low confidence)"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_dasyphyllum"	2479974	2.91
189	53	272	272	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Bianca"	"Solanum_dasyphyllum"	2479974	2.91
104	54	2346	2346	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
105	55	2197	2197	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
107	56	2103	2103	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_dasyphyllum"	2479974	2.91
109	57	1902	1902	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
110	58	1851	1851	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
111	59	1729	1729	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
112	60	1729	1729	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
113	61	1721	1721	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
114	62	1595	1595	"All/repeat/mobile_element/Class_I"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I"	"Solanum_dasyphyllum"	2479974	2.91
115	63	1546	1546	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_dasyphyllum"	2479974	2.91
116	64	1532	1532	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
117	65	1468	1468	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
118	66	1426	1426	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
119	67	1391	1391	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Solanum_dasyphyllum"	2479974	2.91
120	68	1378	1378	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
121	69	1371	1371	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
122	70	1357	1357	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
123	71	1344	1344	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Other"	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Solanum_dasyphyllum"	2479974	2.91
145	72	701	701	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
169	72	465	465	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Solanum_dasyphyllum"	2479974	2.91
124	73	1160	1160	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_dasyphyllum"	2479974	2.91
125	74	1152	1152	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
126	75	1137	1137	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
127	76	1108	1108	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_dasyphyllum"	2479974	2.91
128	77	1099	1099	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
129	78	1038	1038	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
130	79	1003	1003	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ivana"	"Solanum_dasyphyllum"	2479974	2.91
131	80	957	957	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
132	81	947	947	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
133	82	944	944	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_dasyphyllum"	2479974	2.91
134	83	914	914	"All"	"Other"	"All"	"Solanum_dasyphyllum"	2479974	2.91
